商品名,规格,物料号,天猫是否上架,天猫平台ID
MIG/MAG,TPS2700 脉冲MIG/MAG焊机,4.075.095,是,739735088340
MIG/MAG,TPS2700 脉冲MIG/MAG焊机测试2,4.075.095,是,739735088341
MIG/MAG,TPS3200脉冲MIG/MAG焊机,4.075.124,是,739735088340
MIG/MAG,TPS4000脉冲MIG/MAG焊机,4.075.100,是,739735088340
MIG/MAG,TPS5000脉冲MIG/MAG焊机,4.075.102,是,739735088340
CMT,TPS2700CMT  MIG/MAG焊机,4.075.136,是,753676635982
CMT,TPS3200CMT  MIG/MAG焊机,4.075.137,是,753676635982
CMT,TPS4000CMT  MIG/MAG焊机,4.075.138,是,753676635982
CMT,TPS5000CMT  MIG/MAG焊机,4.075.139,是,753676635982
DC TIG,TT2200 JOB 氩弧焊机(DC),4.075.120,是,740139787090
DC TIG,TT3000 JOB 氩弧焊机(DC),4.075.154,是,740139787090
DC TIG,TT4000 JOB 氩弧焊机(DC),4.075.129,是,740139787090
DC TIG,TT5000 JOB 氩弧焊机(DC),4.075.131,是,740139787090
AC/DC TIG,MW2200 JOB 氩弧焊机(DC),4.075.119,是,739745376885
AC/DC TIG,MW3000 JOB 氩弧焊机(AC/DC),4.075.158,是,739745376885
AC/DC TIG,MW4000 JOB 氩弧焊机(AC/DC),4.075.133,是,739745376885
AC/DC TIG,MW5000 JOB 氩弧焊机(AC/DC),4.075.135,是,739745376885
Plasma,PM10等离子发生器,4.075.146,是,739944329689
车架,移动车架,02*4.045.839,是,739771428920
送丝机支架,送丝机支架,02*4.100.218,是,803079972348
TT2200支架,TT2200支架,02*4.100.218-TT2200,是,803079972348
底架,固定底座,02*4.045.881,是,740169995349
底架,固定底座,02*4.077.001,是,740169995349
固定片,固定片,BP2.0200.8837,是,739954301236
双脉冲,双脉冲功能软件,4.061.101,否,
无飞溅引弧,无飞溅引弧功能软件,4.061.102,否,
JOB浏览,JOB浏览功能软件,4.061.103,否,
OPC输出,OPC输出功能软件,4.061.105,否,
CC/CV热丝,CC/CV热丝功能软件,4.061.106,否,
双丝协同,双丝协同功能软件,4.061.110,否,
CMT升级,CMT升级功能软件,4.061.114,否,
单相电源线,单相电源线,02*43.0004.0519,是,740066462099
三相电源线,三相电源线,02*43.0004.0987,是,740066954037
VR4000,VR4000 MIG/MAG送丝机,4.045.831.000,是,740540528392
VR7000,VR7000 MIG/MAG送丝机,4.045.832.000,是,740539544915
VR1550,VR1550 MIG/MAG送丝机,4.049.013.000,是,
VR4000case,VR4000caseMIG/MAG送丝机,4.049.024,是,740806894410
KD1500D-11,KD1500D-11 TIG送丝机,4.045.958,是,740807378273
KD4000D-11,KD4000D-11  TIG送丝机,4.045.959,是,740807378273
送粉器,SFQ-A-01 送粉器,SFQ-A-01,否,
送丝机机器人安装座,ABB机器人安装座,/,否,
送丝机机器人安装座,FANUC机器人安装座,/,否,
送丝机机器人安装座,KUKA机器人安装座,/,否,
送丝机机器人安装座,MOTOMAN机器人安装座,/,否,
送丝机一体式底座,送丝机一体式底座,02*4.100.473,是,744584554205
冷却水箱,FK9000R 冷却水箱,4.045.906,是,786867756666
冷却水箱,FK4000R 冷却水箱,4.045.837,否,
冷却水箱,FK2200    冷却水箱,4.045.886,否,
冷却水箱,FK2500  冷却水箱,4.045.985,否,
制冷水箱,MCW-15 制冷水箱,FNS00039,否,
制冷水箱,MCW-35 制冷水箱,三河同飞水箱,否,
水流传感器,水流传感器,4.100.214,否,
双路串联水管,双路串联水管,4.100.390,否,
冷却液,冷却液 5L,40.0009.0180,否,
4.1.1TPS中继线,1.6m TPS 中继线（70mm2电缆）,4.047.324,是,
4.1.1TPS中继线,5m TPS 中继线（70mm2电缆）,4.047.261,是,
4.1.1TPS中继线,10m TPS 中继线（70mm2电缆）,4.047.262,是,
4.1.1TPS中继线,15m TPS 中继线（70mm2电缆）,4.047.290,是,
4.1.1TPS中继线,4m TPS 中继线（95mm2电缆）,4.047.291,是,
4.1.1TPS中继线,8m TPS 中继线（95mm2电缆）,4.047.292,是,
4.1.1TPS中继线,10m TPS 中继线（95mm2电缆）,4.047.396,是,
4.1.1TPS中继线,15m TPS 中继线（95mm2电缆）,4.047.319,是,
4.1.1TPS中继线,20m TPS 中继线（95mm2电缆）,4.047.320,是,
4.1.2CMT中继线,1.6 m CMT  中继线,4.047.726,是,782303818722
4.1.2CMT中继线,4m CMT  中继线,4.047.427,是,782303818722
4.1.2CMT中继线,8m CMT  中继线,4.047.428,是,782303818722
4.1.2CMT中继线,15m CMT  中继线,4.047.448,是,782303818722
4.1.3TIG中继线,2m TIG焊中继线,4.047.440,是,782264735094
4.1.3TIG中继线,5m TIG焊中继线,4.047.441,是,782264735094
4.1.3TIG中继线,10m TIG焊中继线,4.047.464,是,782264735094
4.1.4遥控线,3.5m遥控线 （MIG）,43.0004.2737,是,782378161938
4.1.4遥控线,5m遥控线 （MIG）,43.0004.0459,是,782378161938
4.1.4遥控线,10m遥控线 （MIG）,43.0004.0460,是,782378161938
4.1.4遥控线,20m遥控线 （MIG）,43.0004.0509,是,782378161938
4.1.4遥控线,30m遥控线 （MIG）,43.0004.0548,是,782378161938
4.1.4遥控线,3.5m遥控线 （TIG）,43.0004.2737T,是,782378161938
4.1.4遥控线,5m遥控线 （TIG）,43.0004.0459T,是,782378161938
4.1.4遥控线,10m遥控线 （TIG）,43.0004.0460T,是,782378161938
4.1.4遥控线,20m遥控线 （TIG）,43.0004.0509T,是,782378161938
4.1.4遥控线,30m遥控线 （TIG）,43.0004.0548T,是,782378161938
4.1.4遥控线,1m延长控制线,43.0004.2638,否,
延长控制线,5m延长控制线,43.0004.0633,否,
延长控制线,10m延长控制线,43.0004.1017,否,
LHSB线,2m LHSB 连线,43.0004.2501,否,
LHSB线,5m LHSB 连线,43.0004.2633,否,
LHSB线,9m LHSB 连线,43.0004.2634,否,
LHSB线,16m LHSB 连线,43.0004.2818,否,
